Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Pr  	(Pr) ht = L + (Pr) rt  	96.5  	85.5  	98.5  	652  	Catatectic  
Ag-Pt  	L + (Pt) = (Ag)  	31  	87  	40  	1188  	Peritectic  
Ag-Pt  	(Ag) + (Pt) = Ag15Pt17  	30  	91.9  	53  	803  	Peritectoid  
Ag-Pu  	L = (Ag) + Ag51Pu14  	9.2  	0  	22  	801  	Eutectic  
Ag-Pu  	L = Ag51Pu14  	 	22  	 	977  	Congruent  
Ag-Pu  	L1 = L2 + Ag2Pu  	41  	98  	33.3  	795  	Monotectic  
Ag-Pu  	L + Ag51Pu14 = Ag2Pu  	35.5  	22  	33.3  	817  	Peritectic  
Ag-Pu  	L2 + Ag2Pu = (Pu) ht5  	99.9  	33.3  	95.5  	659  	Peritectic  
Ag-Pu  	Ag2Pu + (Pu) ht5 + (Pu) ht4  	 	33.3  	100  	100  	unknown  
Ag-Pu  	Ag2Pu + (Pu) ht4 + (Pu) ht3  	 	33.3  	100  	100  	unknown  
Ag-Pu  	Ag2Pu + (Pu) ht3 + (Pu) ht2  	 	33.3  	100  	100  	unknown  
Ag-Pu  	Ag2Pu + (Pu) ht2 + (Pu) ht1  	 	33.3  	100  	100  	unknown  
Ag-Pu  	Ag2Pu + (Pu) ht1 + (Pu) rt  	 	33.3  	100  	100  	unknown  
Ag-Re  	L = (Ag) + (Re)  	0  	0  	 	961  	Eutectic  
Ag-Rh  	L2 = L1 + (Rh)  	80  	7  	90  	1900  	Monotectic  
Ag-Rh  	L1 = (Ag) + (Rh)  	0  	0  	86  	961  	Eutectic  
Ag-Ru  	L2 = L1 + ?  	 	3.8  	 	970  	Monotectic  
Ag-Ru  	L1 = (Ag) + ?  	3.1  	0  	 	920  	Eutectic  
Ag-S  	L1 = (Ag) + L2  	5.8  	0  	31  	906  	Monotectic  
Ag-S  	L2 = (Ag) + Ag2S ht2  	32  	0  	33.27  	806  	Eutectic  
Ag-S  	Ag2S ht2 = (Ag) + Ag2S ht1  	33.27  	0  	33.27  	571  	Eutectoid  
Ag-S  	Ag2S ht1 = (Ag) +Ag2S rt  	33.3  	0  	33.3  	176  	Eutectoid  
Ag-S  	L2 = Ag2S ht2  	 	33.3  	 	842  	Congruent  
Ag-S  	L2 = Ag2S ht2 + L3  	36  	33.57  	99.9  	742  	Monotectic  
Ag-S  	L3 +Ag2S ht2 = Ag2S ht1  	99.9  	33.5  	33.51  	622  	Peritectic  
Ag-S  	L3 + Ag2S ht1 = Ag2S rt  	100  	33.3  	33.3  	178  	Peritectic  
Ag-Sb  	L + (Ag) = Ag0.84Sb0.16  	15  	7.2  	8.5  	702.5  	Peritectic  
Ag-Sb  	L + Ag0.84Sb0.16 = Ag3.15Sb0.85  	25  	16.4  	21.1  	562  	Peritectic  
Ag-Sb  	L = Ag3.15Sb0.85 + (Sb)  	41  	25  	100  	484  	Eutectic  
Ag-Sc  	L = (Ag) + Ag4Sc  	12  	10.4  	20  	926  	Eutectic  
Ag-Sc  	L + Ag2Sc = Ag4Sc  	15  	33.3  	20  	936  	Peritectic  
Ag-Sc  	L = Ag2Sc  	 	33.3  	 	1155  	Congruent  
Ag-Sc  	L = Ag2Sc + AgSc  	40  	33.3  	50  	1130  	Eutectic  
Ag-Sc  	L = AgSc  	 	50  	 	1230  	Congruent  
Ag-Sc  	L = AgSc + (Sc) rt  	80  	50  	100  	920  	Eutectic  
Ag-Sc  	L + (Sc) ht + (Sc) rt  	93  	100  	100  	1337  	unknown  
Ag-Se  	L1 = L2 + (Ag)  	890  	31.5  	0  	880  	Monotectic  
Ag-Se  	L2 = (Ag) + Ag2Se ht  	30.5  	0  	33.3  	840  	Eutectic  
Ag-Se  	L2 = Ag2Se ht  	 	33.3  	 	910  	Congruent  
Ag-Se  	Ag2Se ht = (Ag) + Ag2Se rt  	33.3  	0  	33.3  	130  	Eutectoid  
Ag-Se  	Ag2Se ht + (Se) = Ag2Se rt  	33.3  	100  	33.3  	132  	Peritectoid  
Ag-Se  	L3 = Ag2Se ht + (Se)  	100  	33.3  	100  	217  	Eutectic  
Ag-Se  	L2 = L3 + Ag2Se ht  	44.5  	95.5  	33.3  	616  	Monotectic  
Ag-Si  	L = (Ag) + (Si)  	11  	0  	100  	835  	Eutectic  
Ag-Sm  	L = (Ag) + Ag51Sm14  	10  	1  	21.5  	760  	Eutectic  
Ag-Sm  	L = Ag2Sm ht + AgSm  	37  	33.3  	50  	775  	Eutectic  
Ag-Sm  	L = AgSm  	 	50  	 	960  	Congruent  
Ag-Sm  	L + Ag51Sm14 = Ag2Sm ht  	36  	25.5  	33.3  	790  	Peritectic  
Ag-Sm  	L = AgSm + (Sm) rt  	82  	50  	100  	675  	Eutectic  
Ag-Sm  	L + (Sm) ht2 + (Sm) ht1  	91  	100  	100  	922  	unknown  
Ag-Sm  	L + (Sm) ht1 + (Sm) rt  	85  	100  	100  	734  	unknown  
Ag-Sm  	L = Ag51Sm14  	 	23.5  	 	935  	Congruent  
Ag-Sm  	Ag2Sm ht =Ag2Sm rt  	 	33.3  	 	694  	Polymorphic  
