Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Th  	L = Ag51Th14 + Ag2Th  	31  	21.5  	33.3  	1020  	Eutectic  
Ag-Th  	L = Ag2Th  	 	33.3  	 	1035  	Congruent  
Ag-Th  	L = Ag2Th + AgTh2  	53  	33.3  	66.7  	905  	Eutectic  
Ag-Th  	L = AgTh2  	 	66.7  	 	975  	Congruent  
Ag-Th  	L = AgTh2 + (Th) rt  	72  	66.7  	100  	960  	Eutectic  
Ag-Th  	L + (Th) ht + (Th) rt  	85.5  	100  	100  	1360  	unknown  
Ag-Th  	L = (Ag) + Ag51Th14  	7.7  	100  	21.5  	890  	Eutectic  
Ag-Th  	L = Ag51Th14  	 	21.5  	 	1110  	Congruent  
Ag-Ti  	L = (Ag) + AgTi  	5.5  	5  	50  	960  	Eutectic  
Ag-Ti  	L + (Ti) ht = AgTi  	8  	84.5  	52  	1020  	Peritectic  
Ag-Ti  	AgTi + (Ti) ht = AgTi2  	52  	88  	66.7  	940  	Peritectoid  
Ag-Ti  	(Ti) ht = AgTi2 + (Ti) rt  	92.4  	66.7  	95.3  	855  	Eutectoid  
Ag-Tl  	L = (Ag) + (Tl) ht  	97.4  	5.1  	100  	291  	Eutectic  
Ag-Tl  	(Ag) + (Tl) ht + (Tl) rt  	4  	100  	100  	230  	unknown  
Ag-Tm  	L = (Ag) + Ag3Tm  	11  	4.57  	25  	787  	Eutectic  
Ag-Tm  	L = Ag3Tm  	 	25  	 	960  	Congruent  
Ag-Tm  	L = Ag3Tm + Ag2Tm  	28  	25  	33.3  	900  	Eutectic  
Ag-Tm  	L = Ag2Tm  	 	33.3  	 	1050  	Congruent  
Ag-Tm  	L = Ag2Tm + AgTm  	38.5  	33.3  	50  	960  	Eutectic  
Ag-Tm  	L = AgTm  	 	50  	 	1100  	Congruent  
Ag-Tm  	L = AgTm + (Tm)  	75  	50  	100  	900  	Eutectic  
Ag-U  	L2 = L1 + (U) ht2  	99.3  	2.6  	100  	1132  	Monotectic  
Ag-U  	L1 = (Ag) + (U) ht2  	2.4  	0.4  	100  	950  	Eutectic  
Ag-U  	(Ag) + (U) ht2 + (U) ht1  	0  	100  	100  	776  	unknown  
Ag-U  	(Ag) + (U) ht1 + (U) rt  	0  	100  	100  	668  	unknown  
Ag-V  	L2 = L1 +(V)  	95.38  	7.62  	96.82  	1851.5  	Monotectic  
Ag-V  	L1 = (Ag) + (V)  	0  	0  	99.61  	961  	Eutectic  
Ag-W  	L1 + (W) = (Ag)  	0  	100  	0  	962  	Peritectic  
Ag-Y  	L = (Ag) +Ag51Y14  	11.5  	1.31  	21.5  	799  	Eutectic  
Ag-Y  	L = Ag51Y14  	 	22.5  	 	940  	Congruent  
Ag-Y  	L = Ag51Y14 + Ag2Y  	29  	25.5  	33.3  	900  	Eutectic  
Ag-Y  	L = Ag2Y  	 	33.3  	 	960  	Congruent  
Ag-Y  	L = Ag2Y + AgY  	35  	33.3  	50  	945  	Eutectic  
Ag-Y  	L = AgY  	 	50  	 	1160  	Congruent  
Ag-Y  	L = AgY + (Y) rt  	72.5  	50  	100  	885  	Eutectic  
Ag-Y  	L + (Y) ht + (Y) rt  	96  	100  	100  	1478  	unknown  
Ag-Yb  	L = (Ag) + Ag9Yb2  	13  	1.92  	18.2  	685  	Eutectic  
Ag-Yb  	L + Ag7Yb2 = Ag9Yb2  	16  	22.2  	18.2  	729  	Peritectic  
Ag-Yb  	L = Ag7Yb2  	 	22.2  	 	749  	Congruent  
Ag-Yb  	L = Ag7Yb2 +Ag2Yb  	31.5  	22.2  	33.3  	646  	Eutectic  
Ag-Yb  	L = Ag2Yb  	 	33.3  	 	661  	Congruent  
Ag-Yb  	L = Ag2Yb + AgYb ht  	39.5  	33.3  	50  	589  	Eutectic  
Ag-Yb  	L = AgYb ht  	 	50  	 	724  	Congruent  
Ag-Yb  	AgYb ht = AgYb rt  	 	50  	 	456  	Polymorphic  
Ag-Yb  	L + AgYb ht = Ag2Tb3  	60.5  	50  	60  	632  	Peritectic  
Ag-Yb  	L + Ag2Tb3 = Ag3Yb5  	70.5  	60  	62.5  	552  	Peritectic  
Ag-Yb  	L = Ag3Yb5 + (Yb) rt  	79  	62.5  	100  	446  	Eutectic  
Ag-Yb  	L + (Yb) ht + (Yb) rt  	98  	100  	100  	795  	unknown  
Ag-Zn  	L + (Ag) = Ag0.5Zn0.5 ht  	37.5  	37.1  	36.7  	710  	Eutectic  
Ag-Zn  	Ag0.5Zn0.5 ht = (Ag) + Ag4.5Zn4.5 rt  	45.2  	42  	45.6  	258  	Eutectoid  
Ag-Zn  	L + Ag0.5Zn0.5 ht = Ag5Zn8  	61.8  	58.6  	61.3  	661  	Peritectic  
Ag-Zn  	Ag0.5Zn0.5 ht + Ag5Zn8 = Ag4.5Zn4.5 rt  	50  	58.8  	50.4  	274  	Peritectoid  
Ag-Zn  	L + Ag5Zn8 = Ag0.24Zn0.76  	71  	64.7  	69.4  	631  	Peritectic  
Ag-Zn  	L + Ag0.24Zn0.76 = (Zn)  	98  	89  	93  	431  	Peritectic  
Ag-Zr  	L = (Ag) + AgZr  	2.5  	0  	48.5  	940  	Eutectic  
Ag-Zr  	L + AgZr2 = AgZr  	66  	46.5  	50  	1136  	Peritectic  
Ag-Zr  	L + (Zr) ht = AgZr2  	63.5  	80.2  	66.7  	1190  	Peritectic  
Ag-Zr  	(Zr) ht = AgZr2 + (Zr) rt  	96.1  	67  	97.8  	820  	Eutectoid  
Ag-Al  	L + (Ag) = Ag0.75Al0.25 ht  	21.6  	17.4  	20.5  	778  	Peritectic  
Ag-Al  	(Ag) + Ag0.75Al0.25 ht = Ag0.75Al0.25  	20.3  	23.7  	23.5  	610  	Peritectoid  
Ag-Al  	Ag0.75Al0.25 ht = Ag0.75Al0.25  	 	24.4  	 	603  	Minimum  
Ag-Al  	(Ag) + Ag0.75Al0.25 = Ag0.75Al0.25 rt  	20.4  	23.5  	22.9  	450  	Peritectoid  
Ag-Al  	L + Ag0.75Al0.25 ht = Ag0.75Al0.25  	29.8  	32.7  	32.1  	726  	Peritectic  
Ag-Al  	L = Ag0.75Al0.25 + (Al)  	61  	41.9  	76.5  	726  	Eutectic  
Al-As  	L = (Al) + AlAs  	0  	0  	50  	658  	Eutectic  
Al-As  	L = AlAs  	 	50  	 	1770  	Congruent  
Al-As  	L = AlAs + (As)  	100  	50  	100  	815  	Eutectic  
Al-Au  	L = (Al) + Al2Au  	1.1  	0  	33  	650  	Eutectic  
Al-Au  	L = Al2Au  	 	33.3  	 	1060  	Congruent  
Al-Au  	L + Al2Au = AlAu  	56  	34  	50  	625  	Peritectic  
Al-Au  	L = AlAu + Al2Au ht  	60  	50  	65  	569  	Eutectic  
Al-Au  	L = Al2Au ht  	 	66  	 	624  	Congruent  
Al-Au  	Al2Au ht = AlAu2 rt Al+  	 	65.5  	 	575  	Maximum  
Al-Au  	AlAu+ Al2Au ht = AlAu2 rt Al+  	50  	65  	65  	545  	Peritectoid  
Al-Au  	Al2Au ht = AlAu2 rt Al-  	 	66.3  	 	565  	Maximum  
Al-Au  	Al2Au ht = AlAu2 rt Al+ + Al3Au8  	66.7  	66.7  	72.7  	560  	Eutectoid  
Al-Au  	L + Al2Au ht = Al3Au8  	73  	66.8  	72.7  	575  	Peritectic  
Al-Au  	L = Al3Au8 + Al0.2Au0.8 ht  	78  	72.7  	80  	525  	Eutectic  
Al-Au  	Al3Au8 + Al0.2Au0.8 ht = AlAu4  	72.7  	80  	80  	510  	Peritectoid  
Al-Au  	L + (Au) = Al0.2Au0.8 ht  	80  	87  	81.2  	545  	Peritectic  
Al-Au  	Al0.2Au0.8 ht = AlAu4 + (Au)  	81  	80  	88.5  	500  	Eutectoid  
Al-B  	L + Al1.67B22 = AlB2  	0.6  	92.3  	33.3  	1030  	Peritectic  
Al-B  	L = (Au) + AlB2  	0.055  	0  	33.3  	659.7  	Eutectic  
Al-B  	(Au) + AlB2 = Al2B3  	0  	66.7  	60  	525  	Peritectoid  
Al-B  	L + (B) rhom1 = Al1.67B22 rt  	90  	97  	92.3  	2050  	Peritectic  
Al-Ba  	L = (Al) + BaAl4  	0.2  	0  	20  	659  	Eutectic  
Al-Ba  	L = BaAl4  	 	20  	 	1104  	Congruent  
Al-Ba  	L + BaAl4 = Ba7Al13  	37  	20  	35  	914  	Peritectic  
Al-Ba  	L + Ba7Al13 =Ba3Al5  	51  	35  	37.5  	750  	Peritectic  
Al-Ba  	L + Ba3Al5 = Ba4Al5  	52.3  	37.5  	44.4  	730  	Peritectic  
Al-Ba  	L = Ba4Al5 + (Ba)  	71.5  	44.4  	100  	538  	Eutectic  
Al-Be  	L = (Al) + (Be) rt  	2.4  	0.3  	100  	655  	Eutectic  
Al-Be  	L + (Be) ht + (Be) rt  	98  	100  	100  	1270  	unknown  
Al-Bi  	L1 = L2 + (Al)  	0.45  	84  	0  	657  	Monotectic  
Al-Bi  	L2 =(Al) + (Bi)  	99  	0  	100  	270  	Eutectic  
Al-Br  	L = (Al) + AlBr3  	74.87  	 	75  	97.91  	Eutectic  
Al-C  	L + (C) gra = Al4C3  	18.6  	 	42.9  	2173  	Peritectic  
Al-Ca  	L = (Al) + CaAl4  	5.5  	0  	20  	616  	Eutectic  
Al-Ca  	L + CaAl2 = CaAl4  	10  	33.3  	20  	700  	Peritectic  
Al-Ca  	L = CaAl2  	 	33.3  	 	1079  	Congruent  
Al-Ca  	L = CaAl2 + (Ca) ht  	65  	33.3  	100  	545  	Eutectic  
Al-Ca  	CaAl2 + (Ca) ht + (Ca) rt  	33.3  	100  	100  	443  	unknown  
Al-Cd  	L1 = L2 + (Al)  	1.76  	94.9  	100  	650  	Monotectic  
Al-Cd  	L2 = (Al) + (Cd)  	99.6  	0  	100  	320.4  	Eutectic  
Al-Ce  	L = (Al) + Ce3Al11 rt  	4  	0  	21.4  	640  	Eutectic  
Al-Ce  	Ce3Al11 ht = Ce3Al11 rt  	 	21.4  	 	1020  	Polymorphic  
Al-Ce  	L = CeAl2  	 	33.3  	 	1480  	Congruent  
Al-Ce  	L + Ce3Al11 ht + CeAl2  	21.4  	21.4  	33.3  	1235  	unknown  
Al-Ce  	Ce3Al11 ht + CeAl2 = CeAl3  	21.4  	33.3  	25  	1135  	Peritectoid  
Al-Ce  	L + CeAl2 = CeAl  	65  	33.3  	50  	845  	Peritectic  
Al-Ce  	L = CeAl + Ce3Al ht  	72.5  	50  	75  	660  	Eutectic  
Al-Ce  	L = Ce3Al rt  	 	75  	 	685  	Congruent  
Al-Ce  	Ce3Al ht = Ce3Al rt  	 	75  	 	250  	Polymorphic  
Al-Ce  	L = Ce3Al ht + (Ce) ht2  	86  	75  	99  	600  	Eutectic  
Al-Ce  	(Ce) ht1 = L + (Ce) ht2  	97.5  	93  	99  	700  	Catatectic  
Al-Co  	L = (Al) + Co2Al9  	0.5  	0  	18.1  	657  	Eutectic  
Al-Co  	L + Co4Al12-13 = Co2Al9  	10.5  	23.5  	18.1  	970  	Peritectic  
Al-Co  	L + CoAl3 = Co4Al12-13  	16.5  	25  	23.5  	1093  	Peritectic  
Al-Co  	L + Co2Al5 = CoAl3  	20.8  	28.6  	25  	1135  	Peritectic  
Al-Co  	L + CoAl = Co2Al5  	23.8  	50  	28.6  	1180  	Peritectic  
Al-Co  	L = CoAl  	 	50  	 	1640  	Congruent  
Al-Co  	L = CoAl + (Co) ht  	80.5  	79.5  	83  	1400  	Eutectic  
Al-Co  	(Co) ht = CoAl + (Co) rt  	98  	56  	100  	320  	Eutectoid  
Al-Cr  	L + Cr7Al45 = (Al)  	0  	12.4  	0.5  	661.5  	Peritectic  
Al-Cr  	L + Cr2Al11 (O) = Cr7Al45  	1.1  	15.2  	13.7  	790  	Peritectic  
Al-Cr  	L + Cr4Al9 Al+ rt = Cr2Al11 (O)  	6.5  	18.5  	17  	940  	Peritectic  
Al-Cr  	L + Cr4Al9 rt = Cr4Al9 Al+ rt  	14.5  	30  	20  	1030  	Peritectic  
Al-Cr  	Cr4Al9 ht = L + Cr4Al9 rt  	30  	16  	30  	1060  	Catatectic  
Al-Cr  	Cr4Al9 Al+ rt + Cr4Al9 rt + Cr9.5Al16+ rt  	20  	30  	30  	700  	unknown  
Al-Cr  	L + Cr5Al8 ht = Cr4Al9 ht  	22.5  	35.5  	33  	1170  	Peritectic  
Al-Cr  	Cr4Al9 ht + Cr4Al9 rt + Cr9.5Al16 rt  	33.5  	33.5  	36  	1080  	unknown  
Al-Cr  	L + (Cr) = Cr5Al8 ht  	40  	35  	54  	1350  	Peritectic  
Al-Cr  	Cr4Al9 ht + Cr5Al8 ht + Cr9.5Al16 rt  	33  	36  	36  	1150  	unknown  
Al-Cr  	Cr5Al8 ht + Cr9.5Al16 rt + (Cr)  	41.5  	56.5  	56.5  	1120  	unknown  
Al-Cr  	(Cr) = Cr9.5Al16 rt + Cr2Al rt  	61  	42  	65.5  	870  	Eutectoid  
Al-Cr  	Cr2Al rt + (Cr) = Cr4Al rt  	71  	96.5  	76.5  	400  	Peritectoid  
Al-Cs  	L1 = L2 + (Al)  	0  	97  	0  	660  	Monotectic  
Al-Cs  	(Al) + L2 = (Cs)  	0  	100  	100  	28.6  	Peritectic  
Al-Cu  	L = (Al) + CuAl2  	17.1  	2.48  	31.9  	578.2  	Eutectic  
Al-Cu  	L + CuAl ht = CuAl2  	32.2  	49.8  	32.8  	591  	Peritectic  
Al-Cu  	L = Cu0.75Al0.25 ht  	 	75  	 	1049  	Congruent  
Al-Cu  	L + Cu1.5Al ht = CuAl ht  	36.3  	55  	51.8  	624  	Peritectic  
Al-Cu  	CuAl2 + CuAl ht = CuAl rt  	33  	49.8  	49.8  	563  	Peritectoid  
Al-Cu  	CuAl ht = CuAl rt + Cu11Al9 rt  	52.2  	52.2  	55.3  	560  	Eutectoid  
Al-Cu  	CuAl ht + Cu1.5Al ht = Cu11Al9 ht  	52.4  	56.6  	56.3  	590  	Peritectoid  
Al-Cu  	Cu11Al9 ht = Cu11Al9 rt + Cu33Al17 rt  	56.5  	56.5  	59.8  	530  	Eutectoid  
Al-Cu  	L + Cu9Al4 ht = Cu3Al2 ht2  	59  	63  	62  	950  	Peritectoid  
Al-Cu  	Cu3Al2 ht2 = L + Cu1.5Al ht  	59.4  	52.2  	59.4  	848  	Eutectoid  
Al-Cu  	Cu1.5Al ht = Cu11Al9 ht + Cu33Al17 rt  	58  	57  	59.3  	560  	Eutectoid  
Al-Cu  	Cu3Al2 ht2 + Cu9Al4 rt = Cu1.5Al ht  	61  	62.6  	61  	850  	Peritectoid  
Al-Cu  	Cu1.5Al ht + Cu9Al4 rt = Cu33Al17 rt  	59  	63.5  	63  	686  	Peritectoid  
Al-Cu  	Cu3Al2 ht2 + Cu9Al4 ht = Cu9Al4 rt  	63.2  	64.5  	64.5  	873  	Peritectoid  
Al-Cu  	L + Cu0.75Al0.25 ht = Cu9Al4 ht  	67.6  	69.6  	68.5  	1032  	Peritectic  
Al-Cu  	Cu0.75Al0.25 ht = Cu9Al4 rt + (Cu)  	76.1  	56.8  	80.3  	567  	Eutectic  
Al-Cu  	Cu9Al4 rt + (Cu) = Cu4Al rt  	68  	80.3  	77  	363  	Peritectoid  
Al-Cu  	L = Cu0.75Al0.25 ht + (Cu)  	83  	82  	84.4  	1032  	Eutectic  
Al-Dy  	L + Al2Dy = DyAl3 ht  	11  	33.3  	26.5  	1090  	Peritectic  
Al-Dy  	L = DyAl2 rt  	 	33.3  	 	1500  	Congruent  
Al-Dy  	L = (Al) + DyAl3 rt  	2.5  	0  	25  	636  	Eutectic  
Al-Dy  	DyAl3 ht = DyAl3 rt  	 	26  	 	1005  	Polymorphic  
Al-Dy  	L + DyAl2 rt = DyAl rt  	55  	33.3  	50  	1110  	Peritectic  
Al-Dy  	L + DyAl rt = Dy3Al2  	68  	50  	60  	1025  	Peritectic  
Al-Dy  	L + Dy3Al2 = Dy2Al  	73  	60  	66.7  	990  	Peritectic  
Al-Dy  	L = Dy2Al + (Dy) ht  	78  	66.7  	99.5  	940  	Eutectic  
Al-Dy  	(Dy) ht = L + (Dy) rt  	97  	90  	99  	1300  	Catatectic  
Al-Er  	L = (Al) + ErAl3  	1  	0  	25  	655  	Eutectic  
Al-Er  	L + ErAl2 = ErAl3  	17  	33.3  	25  	1070  	Peritectic  
Al-Er  	L = ErAl2  	 	33.3  	 	1455  	Congruent  
Al-Er  	L + ErAl2 = ErAl  	57  	33.3  	50  	1065  	Peritectic  
Al-Er  	L = ErAl + Er3Al2  	58  	50  	60  	1045  	Eutectic  
Al-Er  	L = Er3Al2  	 	60  	 	1060  	Congruent  
Al-Er  	L + Er3Al2 = Er2Al  	72  	60  	66.7  	1030  	Peritectic  
Al-Er  	L = Er2Al + (Er)  	78  	66.7  	98  	1005  	Eutectic  
Al-Eu  	L = (Al) + EuAl4  	2.25  	0  	20  	628  	Eutectic  
Al-Eu  	L + EuAl2 = EuAl4  	6  	33.3  	20  	800  	Peritectic  
Al-Eu  	L = EuAl2  	 	33.3  	 	1300  	Congruent  
Al-Eu  	L + EuAl2 = EuAl  	60  	33.3  	50  	950  	Peritectic  
Al-Eu  	L = EuAl + (Eu)  	75  	50  	100  	650  	Eutectic  
Al-Fe  	L + FeAl = Fe2Al3 ht  	40  	48  	42  	1232  	Peritectic  
Al-Fe  	L = FeAl2.8  	 	29  	 	1169  	Congruent  
Al-Fe  	Fe2Al3 ht = FeAl + Fe6.5Al11.5  	39  	45  	34  	1102  	Eutectoid  
Al-Fe  	Fe2Al3 ht + FeAl2.8 = Fe6.5Al11.5  	35  	30  	33.3  	1160  	Peritectoid  
Al-Fe  	L = Fe2Al3 ht + FeAl2.8  	31.5  	35.2  	30  	1165  	Eutectic  
Al-Fe  	L + FeAl2.8 + Fe4Al13  	25  	28  	25  	1160  	unknown  
Al-Fe  	L = Fe4Al13 + (Al)  	0.9  	23.4  	0  	655  	Eutectic  
Al-Ga  	L = (Al) + (Ga)  	97.9  	9  	100  	26.6  	Eutectic  
Al-Gd  	L = (Al) + GdAl3  	5  	0  	25  	650  	Eutectic  
Al-Gd  	L + GdAl2 = GdAl3  	18  	33.3  	25  	1125  	Peritectic  
Al-Gd  	L = GdAl2  	 	33.3  	 	1525  	Congruent  
Al-Gd  	L + GdAl2 = GdAl  	56  	33.3  	50  	1075  	Peritectic  
Al-Gd  	L + GdAl = Gd3Al2  	67  	50  	60  	980  	Peritectic  
Al-Gd  	L + Gd3Al2 = Gd2Al  	73  	60  	66.7  	950  	Peritectic  
Al-Gd  	L = Gd2Al + (Gd) rt  	77  	66.7  	100  	875  	Eutectic  
Al-Gd  	L + (Gd) ht + (Gd) rt  	96  	100  	100  	1235  	unknown  
Al-Ge  	L = (Al) + (Ge)  	28.4  	2.6  	98.9  	420  	Eutectic  
Al-Hf  	L + HfAl3 = (Al)  	0  	25  	0  	662  	Peritectic  
Al-Hf  	L = HfAl3  	 	25  	 	1590  	Congruent  
Al-Hf  	L = HfAl3 + HfAl2  	28  	25  	33.3  	1540  	Eutectic  
Al-Hf  	L = HfAl2  	 	33.3  	 	1650  	Congruent  
Al-Hf  	L = HfAl2 + Hf2Al3  	37  	33.3  	40  	1495  	Eutectic  
Al-Hf  	L + HfAl = Hf2Al3  	39  	50  	40  	1640  	Peritectic  
Al-Hf  	L = HfAl  	 	50  	 	1800  	Congruent  
Al-Hf  	L = HfAl + Hf3Al2  	56  	50  	60  	1550  	Eutectic  
Al-Hf  	HfAl + Hf3Al2 = Al3Hf4  	50  	60  	57.1  	1430  	Peritectoid  
Al-Hf  	L = Hf3Al2  	 	60  	 	1590  	Congruent  
Al-Hf  	L = Hf3Al2 + (Hf) ht  	 	60  	67  	1530  	Eutectic  
Al-Hf  	(Hf) ht = Hf3Al2 + (Hf) rt  	70  	60  	73  	1450  	Eutectoid  
Al-Hf  	Hf3Al2 + (Hf) rt = Hf2Al  	60  	83  	66.7  	1150  	Peritectoid  
Al-Hg  	L + (Al) = (Hg) lt  	100  	0  	100  	-38.8  	Peritectic  
Al-Ho  	L = (Al) + HoAl3  	1.8  	0  	25  	650  	Eutectic  
Al-Ho  	L + HoAl2 = HoAl3  	23  	33.3  	25  	1087  	Peritectic  
Al-Ho  	L = HoAl2  	 	33.3  	 	1530  	Congruent  
Al-Ho  	L + HoAl2 = HoAl  	54  	33.3  	50  	1115  	Peritectic  
Al-Ho  	L + HoAl = Ho3Al2  	64  	50  	60  	994  	Peritectic  
Al-Ho  	L = Ho3Al2 + Ho2Al  	65  	60  	66.7  	984  	Eutectic  
Al-Ho  	L = Ho2Al  	 	66.7  	 	1018  	Congruent  
Al-Ho  	L = Ho2Al + (Ho)  	76  	66.7  	100  	976  	Eutectic  
Al-I  	L = (Al) + AlI3  	74.95  	 	75  	188.17  	Eutectic  
Al-In  	L1 = (Al) + L2  	4.7  	0  	88.5  	639  	Monotectic  
Al-In  	L2 = (Al) + (In)  	100  	0  	100  	156  	Eutectic  
Al-Ir  	L = (Al) + Ir2Al9  	0  	0  	18.2  	650  	Eutectic  
Al-Ir  	L + Ir4Al13 = Ir2Al9  	4  	23.5  	18.2  	900  	Peritectic  
Al-Ir  	L + IrAl3 = Ir4Al13  	10  	25  	23.5  	1015  	Peritectic  
Al-Ir  	L + IrAl2.75 = IrAl3  	21  	26  	25  	1450  	Peritectic  
Al-Ir  	L = IrAl2.75  	 	28  	 	1650  	Congruent  
Al-Ir  	L = IrAl2.75 + IrAl  	33  	30  	47.5  	1580  	Eutectic  
Al-Ir  	L = IrAl  	 	50  	 	2090  	Congruent  
Al-Ir  	L = IrAl + (Ir)  	70  	52.5  	80  	2020  	Eutectic  
Al-K  	L1 = (Al) + L2  	0.5  	0  	99.5  	657  	Monotectic  
Al-K  	L2 = (Al) + (K)  	100  	0  	100  	62.5  	Eutectic  
Al-La  	L = (Al) + Al11La3 rt  	2.5  	0  	21.4  	640  	Eutectic  
Al-La  	L = LaAl4 ht  	 	21.4  	 	1240  	Congruent  
Al-La  	LaAl4 ht = Al11La3 rt  	 	21.4  	 	915  	Polymorphic  
Al-La  	L = LaAl4 ht + La0.88Al2.12 ht  	24  	21.4  	29.3  	1220  	Eutectic  
Al-La  	LaAl4 ht + La0.88Al2.12 ht = Al3La rt  	21.4  	29.3  	25  	1170  	Peritectoid  
Al-La  	L + Al2La = La0.88Al2.12 ht  	24.5  	33.3  	29.3  	1240  	Eutectic  
Al-La  	La0.88Al2.12 ht = Al3La rt + Al2La  	29.3  	25  	33.3  	1090  	Eutectoid  
Al-La  	L = LaAl2  	 	33.3  	 	1405  	Congruent  
Al-La  	L + LaAl2 = LaAl  	57  	33.3  	50  	873  	Peritectic  
Al-La  	L = LaAl + (La) ht1  	50  	50  	100  	530  	Eutectic  
Al-La  	AlLa + (La) ht1 = La3Al ht  	50  	100  	75  	520  	Peritectoid  
Al-La  	La3Al ht = LaAl + (La) ht1  	75  	50  	100  	400  	Eutectoid  
Al-La  	(La) ht2 = L + (La) ht1  	98  	95.5  	99.5  	840  	Catatectic  
Al-Li  	L + Li3Al2 = Li9Al4 ht  	90  	60  	69.2  	330  	Peritectic  
Al-Li  	Li9Al4 ht = Li9Al4 rt  	 	69.2  	 	275  	Polymorphic  
Al-Li  	L = Li9Al4 rt + (Li)  	98  	69.2  	100  	177  	Eutectic  
Al-Li  	L = (Al) + LiAl rt  	26  	15  	45  	596  	Eutectic  
Al-Li  	L = LiAl rt  	 	50  	 	700  	Congruent  
Al-Li  	L + LiAl rt = Li3Al2  	77  	55  	60  	520  	Peritectic  
Al-Lu  	L = (Al) + LuAl3  	2  	0  	25  	650  	Eutectic  
Al-Lu  	L + LuAl2 = LuAl3  	20  	33.3  	25  	1200  	Peritectic  
Al-Lu  	L = LuAl2  	 	33.3  	 	1500  	Congruent  
Al-Lu  	L + LuAl2 = LuAl  	54  	33.3  	50  	1140  	Peritectic  
Al-Lu  	L = LuAl + Lu3Al2  	58  	50  	60  	1100  	Eutectic  
Al-Lu  	L = Lu3Al2  	 	60  	 	1140  	Congruent  
Al-Lu  	L + Lu3Al2 = Lu2Al  	75  	60  	66.6  	1040  	Peritectic  
Al-Lu  	L = Lu2Al + (Lu)  	80  	66.6  	100  	1000  	Eutectic  
Al-Mg  	L = (Al) + Mg28Al45  	37  	18.6  	38  	450  	Eutectic  
Al-Mg  	L = Mg28Al45  	 	39  	 	452  	Congruent  
Al-Mg  	L = Mg28Al45 + Mg3Al4 ht  	41  	40  	42.5  	450  	Eutectic  
Al-Mg  	L + Mg17Al12 = Mg3Al4 ht  	42  	43.5  	42.5  	451  	Peritectic  
Al-Mg  	Mg23Al30 ht = Mg28Al45 + Mg17Al12  	44.5  	39.5  	54  	250  	Eutectoid  
Al-Mg  	Mg28Al45 + Mg17Al12 = Mg23Al30 ht  	40  	48  	44  	410  	Peritectoid  
Al-Mg  	L = Mg17Al12  	 	53  	 	458  	Congruent  
Al-Mg  	L = Mg17Al12 + (Mg)  	69  	62.3  	88.5  	437  	Eutectic  
Al-Mn  	L = (Al) + MnAl6  	1  	0.62  	14.2  	658  	Eutectic  
Al-Mn  	L + Mn55Al225.5 = MnAl6  	2.4  	19  	14.2  	705  	Peritectic  
Al-Mn  	MnAl6 + Mn55Al225.5 = Mn53.3Al230.2  	14.2  	19  	18  	690  	Peritectoid  
Al-Mn  	L + Mn10Al29 ht = Mn55Al225.5  	15.2  	25  	20.8  	923  	Peritectic  
Al-Mn  	L + Mn3Al7 ht = Mn10Al29 ht  	23.2  	30  	28.3  	1002  	Peritectic  
Al-Mn  	Mn10Al29 ht + Mn55Al225.5 = Mn3.75Al11 rt  	25.75  	20.8  	27  	910  	Peritectoid  
Al-Mn  	Mn10Al29 ht = Mn3.75Al11 rt  	 	27  	 	916  	Maximum  
Al-Mn  	Mn10Al29 ht = Mn3.75Al11 rt + Mn11Al15 rt  	28.2  	27  	31.8  	895  	Eutectoid  
Al-Mn  	L + Mn0.45Al0.55 ht = Mn3Al7 ht  	28.3  	34.5  	33.6  	1048  	Peritectic  
Al-Mn  	Mn3Al7 ht = Al11Mn4(HT) + Mn11Al15 rt  	31  	28.7  	31.4  	957  	Eutectoid  
Al-Mn  	Mn3Al7 ht + Mn0.45Al0.55 ht = Mn11Al15 rt  	38.2  	40  	38.8  	1191  	Peritectoid  
Al-Mn  	L = (Mn) ht3  	 	80.3  	 	1315  	Congruent  
Al-Mn  	(Mn) ht2 = (Mn) ht1  	 	94  	 	1055  	Minimum  
Al-Mn  	L + Mn0.55Al0.45 ht = Mn0.45Al0.55 ht  	43  	5302  	50.6  	1165  	Peritectic  
Al-Mn  	Mn0.45Al0.55 ht = Mn11Al15 rt + (Mn) ht1  	49.5  	47  	59.5  	840  	Eutectoid  
Al-Mn  	Mn0.55Al0.45 ht = Mn0.45Al0.55 ht + (Mn) ht1  	54  	51.3  	60  	870  	Eutectoid  
Al-Mn  	L + (Mn) ht3 = Mn0.55Al0.45 ht  	59  	63  	60  	1260  	Peritectic  
Al-Mn  	(Mn) ht3 = Mn0.55Al0.45 ht + (Mn) ht1  	61.5  	58  	65  	970  	Eutectoid  
Al-Mn  	(Mn) ht3 + (Mn) ht2 = (Mn) ht1  	87.9  	90.9  	90  	1071  	Peritectoid  
Al-Mo  	L + Mo5Al22 ht = MoAl5 ht2  	0  	18.5  	16.7  	846  	Peritectic  
Al-Mo  	Mo5Al22 ht = MoAl5 ht2 + Mo4Al17  	18.5  	15.7  	19  	830  	Eutectoid  
Al-Mo  	L + MoAl4 ht = Mo4Al17  	1  	20  	19  	1034  	Peritectic  
Al-Mo  	L + MoAl3 ht2 = MoAl4 ht  	4  	21  	20  	1177  	Peritectic  
Al-Mo  	MoAl4 ht = Mo4Al17 + MoAl3 ht1  	20  	19  	25  	942  	Eutectoid  
